pid,name,cpu,memoryInfo,date
19912,chrome.exe,0.0,128.44140625,2025-07-24 15:51:29
20200,conhost.exe,0.0,6.91796875,2025-07-24 15:51:29
20276,chrome.exe,0.0,83.359375,2025-07-24 15:51:29
20356,msedgewebview2.exe,0.0,83.18359375,2025-07-24 15:51:29
20596,browserhost.exe,0.0,12.45703125,2025-07-24 15:51:29
20648,svchost.exe,0.0,10.90234375,2025-07-24 15:51:29
20768,chrome.exe,0.0,64.0703125,2025-07-24 15:51:29
20792,msedge.exe,0.0,7.25,2025-07-24 15:51:29
20804,chrome.exe,0.0,189.046875,2025-07-24 15:51:29
21104,msedge.exe,0.0,40.921875,2025-07-24 15:51:29
21112,msedge.exe,0.0,37.6875,2025-07-24 15:51:29
21288,msedge.exe,0.0,17.625,2025-07-24 15:51:29
21340,msedge.exe,0.0,43.26953125,2025-07-24 15:51:29
21372,chrome.exe,0.0,187.39453125,2025-07-24 15:51:29
21496,SystemSettings.exe,0.0,1.4765625,2025-07-24 15:51:29
21776,ApplicationFrameHost.exe,0.0,27.70703125,2025-07-24 15:51:29
21796,svchost.exe,0.0,17.13671875,2025-07-24 15:51:29
21828,chrome.exe,0.0,74.2109375,2025-07-24 15:51:29
22064,RuntimeBroker.exe,0.0,6.2578125,2025-07-24 15:51:29
22148,chrome.exe,0.0,276.7265625,2025-07-24 15:51:29
22212,chrome.exe,0.0,127.796875,2025-07-24 15:51:29
22316,RuntimeBroker.exe,0.0,12.94140625,2025-07-24 15:51:29
22412,svchost.exe,0.0,13.11328125,2025-07-24 15:51:29
22432,svchost.exe,0.0,7.40625,2025-07-24 15:51:29
22692,msedgewebview2.exe,0.0,17.0234375,2025-07-24 15:51:29
22756,chrome.exe,0.0,28.8203125,2025-07-24 15:51:29
22796,pgAdmin4.exe,0.0,83.10546875,2025-07-24 15:51:29
22880,postgres.exe,0.0,19.4765625,2025-07-24 15:51:29
23184,audiodg.exe,0.06666666666666667,13.75,2025-07-24 15:51:29
23284,pgAdmin4.exe,0.0,93.49609375,2025-07-24 15:51:29
24516,chrome.exe,0.0,68.05859375,2025-07-24 15:51:29
